,MAIN_SVVD,POL_CDE,POL_NME,POD_CDE,POD_NME,WBL_INTEVAL,MAIN_SVVD_SAILING_DATE,NUM,PRICE,binom
429,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/26 10:00,2019/12/30 23:00,0,0,0
430,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/26 12:00,2019/12/30 23:00,0,0,0
431,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/26 14:00,2019/12/30 23:00,0,0,0
432,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/26 16:00,2019/12/30 23:00,0,0,0
433,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/26 18:00,2019/12/30 23:00,0,0,0
442,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/27 10:00,2019/12/30 23:00,1,2631,1
443,IC10-QNV-157 S,TSN,新港,NSH,南沙,2019/12/27 08:00,2019/12/30 23:00,7,2631,1
448,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/27 08:00,2020/6/7 23:00,15,1157,1
449,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/27 10:00,2020/6/7 23:00,0,0,0
450,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/27 12:00,2020/6/7 23:00,0,0,0
451,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/27 14:00,2020/6/7 23:00,0,0,0
452,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/27 16:00,2020/6/7 23:00,0,0,0
453,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/27 18:00,2020/6/7 23:00,0,0,0
460,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/28 08:00,2020/6/7 23:00,0,0,0
462,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/28 10:00,2020/6/7 23:00,1,1207,1
463,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/28 12:00,2020/6/7 23:00,0,0,0
464,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/28 14:00,2020/6/7 23:00,0,0,0
465,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/28 16:00,2020/6/7 23:00,0,0,0
466,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/28 18:00,2020/6/7 23:00,0,0,0
473,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/29 08:00,2020/6/7 23:00,0,0,0
474,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/29 10:00,2020/6/7 23:00,0,0,0
475,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/29 12:00,2020/6/7 23:00,0,0,0
476,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/29 14:00,2020/6/7 23:00,0,0,0
477,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/29 16:00,2020/6/7 23:00,0,0,0
478,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/29 18:00,2020/6/7 23:00,0,0,0
490,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/30 08:00,2020/6/7 23:00,2,1257,1
491,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/30 10:00,2020/6/7 23:00,0,0,0
492,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/30 12:00,2020/6/7 23:00,0,0,0
493,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/30 14:00,2020/6/7 23:00,0,0,0
494,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/30 16:00,2020/6/7 23:00,0,0,0
495,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/30 18:00,2020/6/7 23:00,0,0,0
502,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/31 08:00,2020/6/7 23:00,0,0,0
503,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/31 10:00,2020/6/7 23:00,0,0,0
504,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/31 12:00,2020/6/7 23:00,0,0,0
505,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/31 14:00,2020/6/7 23:00,0,0,0
506,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/31 16:00,2020/6/7 23:00,0,0,0
507,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/5/31 18:00,2020/6/7 23:00,0,0,0
514,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/1 08:00,2020/6/7 23:00,0,0,0
516,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/1 10:00,2020/6/7 23:00,3,1257,1
517,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/1 12:00,2020/6/7 23:00,0,0,0
519,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/1 14:00,2020/6/7 23:00,7,1257,1
520,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/1 16:00,2020/6/7 23:00,0,0,0
521,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/1 18:00,2020/6/7 23:00,0,0,0
535,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/2 08:00,2020/6/7 23:00,6,1257,1
536,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/2 10:00,2020/6/7 23:00,0,0,0
537,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/2 12:00,2020/6/7 23:00,0,0,0
538,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/2 14:00,2020/6/7 23:00,0,0,0
539,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/2 16:00,2020/6/7 23:00,0,0,0
540,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/2 18:00,2020/6/7 23:00,0,0,0
556,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/3 08:00,2020/6/7 23:00,6,1257,1
557,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/3 10:00,2020/6/7 23:00,0,0,0
558,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/3 12:00,2020/6/7 23:00,0,0,0
559,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/3 14:00,2020/6/7 23:00,0,0,0
560,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/3 16:00,2020/6/7 23:00,0,0,0
561,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/3 18:00,2020/6/7 23:00,0,0,0
570,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/4 10:00,2020/6/7 23:00,1,1257,1
572,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/4 12:00,2020/6/7 23:00,6,1257,1
574,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/4 14:00,2020/6/7 23:00,2,1257,1
575,IC10-Q40-119 S,TSN,新港,NSH,南沙,2020/6/4 08:00,2020/6/7 23:00,1,1257,1
580,IC10-QNV-164 S,TSN,新港,NSH,南沙,2020/5/13 08:00,2020/5/26 23:00,1,1407,1
581,IC10-QNV-164 S,TSN,新港,NSH,南沙,2020/5/13 10:00,2020/5/26 23:00,0,0,0
582,IC10-QNV-164 S,TSN,新港,NSH,南沙,2020/5/13 12:00,2020/5/26 23:00,0,0,0
