,MAIN_SVVD,POL_CDE,POL_NME,POD_CDE,POD_NME,WBL_AUD_DTDL,MAIN_SVVD_SAILING_DATE,NUM,PRICE,binom
10109,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/2 16:00,2020/1/9 22:00,0,0,0
10110,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/2 18:00,2020/1/9 22:00,0,0,0
10117,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/3 8:00,2020/1/9 22:00,0,0,0
10118,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/3 10:00,2020/1/9 22:00,0,0,0
10119,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/3 12:00,2020/1/9 22:00,0,0,0
10120,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/3 14:00,2020/1/9 22:00,0,0,0
10121,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/3 16:00,2020/1/9 22:00,0,0,0
10122,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/3 18:00,2020/1/9 22:00,0,0,0
10129,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/4 8:00,2020/1/9 22:00,0,0,0
10130,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/4 10:00,2020/1/9 22:00,0,0,0
10131,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/4 12:00,2020/1/9 22:00,0,0,0
10133,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/4 14:00,2020/1/9 22:00,2,3056,1
10134,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/4 16:00,2020/1/9 22:00,0,0,0
10135,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/4 18:00,2020/1/9 22:00,0,0,0
10142,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/5 8:00,2020/1/9 22:00,0,0,0
10144,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/5 10:00,2020/1/9 22:00,11,2964,1
10146,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/5 12:00,2020/1/9 22:00,9,2964,1
10147,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/5 14:00,2020/1/9 22:00,0,0,0
10148,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/5 16:00,2020/1/9 22:00,0,0,0
10149,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/5 18:00,2020/1/9 22:00,0,0,0
10165,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/6 8:00,2020/1/9 22:00,16,2964,1
3579,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/6 10:00,2020/1/14 22:00,2,3066,1
10158,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/6 10:00,2020/1/9 22:00,10,2964,1
3581,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/6 12:00,2020/1/14 22:00,1,2964,1
10160,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/6 12:00,2020/1/9 22:00,17,2964,1
3582,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/6 14:00,2020/1/14 22:00,0,0,0
10162,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/6 14:00,2020/1/9 22:00,2,2964,1
3583,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/6 16:00,2020/1/14 22:00,0,0,0
10164,IC29-CAK-170 S,YIK,营口,QZH,钦州,2020/1/6 16:00,2020/1/9 22:00,4,2964,1
3584,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/6 18:00,2020/1/14 22:00,0,0,0
3591,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/7 8:00,2020/1/14 22:00,0,0,0
3592,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/7 10:00,2020/1/14 22:00,0,0,0
3594,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/7 12:00,2020/1/14 22:00,34,2726,1
3596,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/7 14:00,2020/1/14 22:00,37,2726,1
3598,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/7 16:00,2020/1/14 22:00,16,2726,1
3599,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/7 18:00,2020/1/14 22:00,0,0,0
3614,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/8 8:00,2020/1/14 22:00,42,2726,1
3615,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/8 10:00,2020/1/14 22:00,0,0,0
3616,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/8 12:00,2020/1/14 22:00,0,0,0
3617,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/8 14:00,2020/1/14 22:00,0,0,0
3618,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/8 16:00,2020/1/14 22:00,0,0,0
3619,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/8 18:00,2020/1/14 22:00,0,0,0
3634,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/9 8:00,2020/1/14 22:00,5,2726,1
3628,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/9 10:00,2020/1/14 22:00,1,2726,1
3629,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/9 12:00,2020/1/14 22:00,0,0,0
3631,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/9 14:00,2020/1/14 22:00,8,2726,1
3633,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/9 16:00,2020/1/14 22:00,1,2726,1
3563,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/10 8:00,2020/1/14 22:00,12,2726,1
6996,IC29-Q2P-106 S,YIK,营口,QZH,钦州,2020/1/10 8:00,2020/1/23 22:00,85,2756,1
3564,IC29-NLX-007 S,YIK,营口,QZH,钦州,2020/1/10 10:00,2020/1/14 22:00,0,0,0
